0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199
1	0	12
2	0	94
2	1	69
3	0	14
3	1	55
3	2	52
4	0	72
4	1	6
4	2	27
4	3	84
5	0	84
5	1	77
5	2	52
5	3	33
5	4	20
6	0	18
6	1	68
6	2	86
6	3	47
6	4	41
6	5	43
7	0	29
7	1	2
7	2	97
7	3	7
7	4	17
7	5	36
7	6	26
8	0	5
8	1	19
8	2	88
8	3	37
8	4	32
8	5	1
8	6	41
8	7	46
9	0	92
9	1	10
9	2	97
9	3	51
9	4	48
9	5	77
9	6	35
9	7	85
9	8	87
10	0	49
10	1	51
10	2	57
10	3	40
10	4	87
10	5	38
10	6	59
10	7	39
10	8	18
10	9	13
11	0	12
11	1	27
11	2	55
11	3	53
11	4	55
11	5	17
11	6	87
11	7	27
11	8	40
11	9	38
11	10	28
12	0	17
12	1	56
12	2	7
12	3	65
12	4	85
12	5	81
12	6	84
12	7	28
12	8	23
12	9	12
12	10	70
12	11	14
13	0	44
13	1	55
13	2	97
13	3	79
13	4	5
13	5	73
13	6	87
13	7	40
13	8	44
13	9	21
13	10	9
13	11	38
13	12	39
14	0	25
14	1	49
14	2	32
14	3	28
14	4	13
14	5	28
14	6	52
14	7	92
14	8	90
14	9	39
14	10	38
14	11	46
14	12	21
14	13	45
15	0	46
15	1	42
15	2	13
15	3	64
15	4	55
15	5	57
15	6	78
15	7	31
15	8	89
15	9	38
15	10	25
15	11	89
15	12	51
15	13	5
15	14	79
16	0	95
16	1	51
16	2	59
16	3	10
16	4	100
16	5	5
16	6	67
16	7	93
16	8	63
16	9	11
16	10	74
16	11	5
16	12	8
16	13	66
16	14	34
16	15	4
17	0	86
17	1	60
17	2	30
17	3	32
17	4	35
17	5	50
17	6	15
17	7	60
17	8	71
17	9	9
17	10	73
17	11	15
17	12	82
17	13	32
17	14	2
17	15	88
17	16	62
18	0	66
18	1	91
18	2	99
18	3	22
18	4	50
18	5	48
18	6	83
18	7	66
18	8	74
18	9	57
18	10	29
18	11	94
18	12	8
18	13	39
18	14	55
18	15	27
18	16	17
18	17	46
19	0	23
19	1	40
19	2	21
19	3	46
19	4	32
19	5	59
19	6	5
19	7	57
19	8	29
19	9	52
19	10	8
19	11	39
19	12	16
19	13	36
19	14	16
19	15	2
19	16	20
19	17	82
19	18	14
20	0	84
20	1	100
20	2	62
20	3	42
20	4	41
20	5	17
20	6	18
20	7	38
20	8	35
20	9	24
20	10	37
20	11	98
20	12	72
20	13	15
20	14	81
20	15	52
20	16	31
20	17	77
20	18	100
20	19	44
21	0	10
21	1	45
21	2	61
21	3	60
21	4	71
21	5	41
21	6	37
21	7	67
21	8	65
21	9	57
21	10	73
21	11	87
21	12	78
21	13	78
21	14	39
21	15	100
21	16	47
21	17	99
21	18	97
21	19	34
21	20	79
22	0	39
22	1	1
22	2	79
22	3	88
22	4	87
22	5	6
22	6	70
22	7	38
22	8	10
22	9	100
22	10	73
22	11	67
22	12	28
22	13	65
22	14	84
22	15	81
22	16	23
22	17	4
22	18	11
22	19	99
22	20	70
22	21	82
23	0	42
23	1	69
23	2	74
23	3	73
23	4	77
23	5	85
23	6	58
23	7	78
23	8	75
23	9	34
23	10	74
23	11	63
23	12	5
23	13	88
23	14	29
23	15	72
23	16	62
23	17	92
23	18	37
23	19	80
23	20	12
23	21	29
23	22	51
24	0	22
24	1	21
24	2	2
24	3	31
24	4	98
24	5	80
24	6	26
24	7	43
24	8	32
24	9	100
24	10	48
24	11	30
24	12	31
24	13	50
24	14	32
24	15	16
24	16	34
24	17	17
24	18	60
24	19	53
24	20	79
24	21	31
24	22	59
24	23	47
25	0	19
25	1	24
25	2	62
25	3	46
25	4	97
25	5	27
25	6	88
25	7	71
25	8	35
25	9	51
25	10	14
25	11	26
25	12	94
25	13	99
25	14	70
25	15	47
25	16	31
25	17	4
25	18	27
25	19	55
25	20	96
25	21	96
25	22	54
25	23	48
25	24	54
26	0	100
26	1	61
26	2	46
26	3	87
26	4	36
26	5	97
26	6	71
26	7	6
26	8	33
26	9	82
26	10	21
26	11	42
26	12	41
26	13	22
26	14	63
26	15	50
26	16	9
26	17	63
26	18	40
26	19	5
26	20	38
26	21	90
26	22	91
26	23	50
26	24	41
26	25	54
27	0	80
27	1	6
27	2	31
27	3	64
27	4	70
27	5	34
27	6	14
27	7	41
27	8	60
27	9	47
27	10	54
27	11	62
27	12	97
27	13	36
27	14	32
27	15	13
27	16	93
27	17	40
27	18	40
27	19	73
27	20	51
27	21	70
27	22	22
27	23	18
27	24	66
27	25	71
27	26	97
28	0	20
28	1	93
28	2	82
28	3	45
28	4	55
28	5	99
28	6	65
28	7	66
28	8	24
28	9	98
28	10	78
28	11	40
28	12	41
28	13	4
28	14	17
28	15	21
28	16	74
28	17	39
28	18	48
28	19	85
28	20	47
28	21	32
28	22	63
28	23	68
28	24	19
28	25	47
28	26	63
28	27	97
29	0	72
29	1	88
29	2	73
29	3	74
29	4	57
29	5	34
29	6	60
29	7	60
29	8	42
29	9	49
29	10	44
29	11	13
29	12	84
29	13	11
29	14	17
29	15	21
29	16	45
29	17	87
29	18	11
29	19	42
29	20	10
29	21	10
29	22	22
29	23	32
29	24	97
29	25	8
29	26	99
29	27	36
29	28	6
30	0	11
30	1	63
30	2	50
30	3	40
30	4	25
30	5	69
30	6	61
30	7	61
30	8	22
30	9	14
30	10	36
30	11	72
30	12	67
30	13	96
30	14	66
30	15	40
30	16	4
30	17	35
30	18	82
30	19	56
30	20	12
30	21	45
30	22	8
30	23	79
30	24	55
30	25	30
30	26	6
30	27	58
30	28	51
30	29	25
31	0	97
31	1	95
31	2	50
31	3	24
31	4	84
31	5	35
31	6	76
31	7	2
31	8	52
31	9	87
31	10	48
31	11	83
31	12	73
31	13	81
31	14	11
31	15	11
31	16	40
31	17	23
31	18	85
31	19	12
31	20	35
31	21	98
31	22	100
31	23	82
31	24	76
31	25	47
31	26	99
31	27	81
31	28	76
31	29	50
31	30	54
32	0	56
32	1	4
32	2	20
32	3	4
32	4	71
32	5	13
32	6	45
32	7	86
32	8	41
32	9	62
32	10	36
32	11	2
32	12	84
32	13	77
32	14	96
32	15	70
32	16	47
32	17	65
32	18	69
32	19	23
32	20	46
32	21	28
32	22	23
32	23	47
32	24	80
32	25	80
32	26	73
32	27	79
32	28	23
32	29	78
32	30	54
32	31	80
33	0	42
33	1	47
33	2	3
